Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Lithuania,2019,6.064,10.517999999999999,0.9179999999999999,67.9,0.78,-0.251,0.7829999999999999,0.5660000000000001,0.276,53.558,43.5,0.18899999999999997,36.9,167.55200000000002
Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,79.07600000000001,39.7,0.595,30.9,68.439
Madagascar,2019,4.3389999999999995,7.406000000000001,0.701,59.5,0.55,-0.012,0.72,0.723,0.304,0.9420000000000001,19.6,0.312,42.65,
Malawi,2019,3.8689999999999998,6.966,0.5489999999999999,58.3,0.765,0.004,0.68,0.537,0.348,0.988,18.1,0.32299999999999995,44.69,
Malaysia,2019,5.428,10.252,0.8420000000000001,67.2,0.9159999999999999,0.12300000000000001,0.782,0.8340000000000001,0.17600000000000002,1.455,29.9,0.44299999999999995,41.04,9.329
Mali,2019,4.988,7.752000000000001,0.755,52.2,0.67,-0.038,0.846,0.7120000000000001,0.358,1.328,16.4,0.27399999999999997,33.04,
Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.6890000000000001,0.7070000000000001,0.35600000000000004,49.599,42.4,0.40299999999999997,28.7,96.52
Mauritania,2019,4.1530000000000005,8.556000000000001,0.7979999999999999,57.3,0.628,-0.102,0.743,0.6920000000000001,0.26,7.462999999999999,20.3,0.122,32.62,
Mauritius,2019,6.2410000000000005,10.043,0.9129999999999999,66.7,0.893,-0.053,0.81,0.8079999999999999,0.149,0.7859999999999999,37.4,0.41100000000000003,38.47,28.348000000000003
Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.8640000000000001,0.252,97.57600000000001,29.3,0.129,47.5,257.075
Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,0.631,0.262,73.997,37.6,0.10400000000000001,25.9,103.69200000000001
Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873,0.7070000000000001,0.16699999999999998,0.031,28.6,0.102,32.35,-26.468000000000004
Montenegro,2019,5.386,9.97,0.8320000000000001,68.7,0.6940000000000001,-0.105,0.82,0.591,0.366,108.588,39.1,0.21600000000000003,31.93,
Morocco,2019,5.0569999999999995,8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,20.016,29.6,0.397,39.55,
Mozambique,2019,4.9319999999999995,7.155,0.742,55.2,0.87,0.073,0.682,0.5870000000000001,0.384,0.531,17.7,0.473,49.417,
Myanmar,2019,4.434,8.545,0.763,59.3,0.899,0.561,0.682,0.755,0.28600000000000003,4.928999999999999,29.1,0.621,38.07,
Namibia,2019,4.436,9.173,0.845,56.8,0.7390000000000001,-0.174,0.879,0.672,0.256,8.068,22.0,0.311,57.535,
